,placeholder,,,,,,
,placeholder,,,,,,
,placeholder,,,,,,
,placeholder,,,,,,
order,name,grass,undeveloped,urban,grassPRINT,undevelopedPRINT,urbanPRINT
1,landuse_default_ID,1,2,3,601,602,603
2,detention_store_size,0,0,0.001,0,0,0.001
3,fertilizer_NH4 (kg/m2/year),0,0,0,0,0,0
4,fertilizer_NO3 (kg/m2/year),0,0,0,0,0,0
5,irrigation (m/m2/year),0,0,0,0,0,0
6,septic_NO3_load (kg/m2/year),0,0,0,0,0,0
7,septic_water_load (m/m2/year),0,0,0,0,0,0
