lulcCode,lulcComposition_forest,lulcComposition_shrub,lulcComposition_crop,lulcComposition_lawn,lulcComposition_imp,impBreakdownFrac_roof,impBreakdownFrac_driveway,impBreakdownFrac_pavedRoad,waterFrac,noData
10,0,0,0,0,0,0,0,0,1,0
20,0,0,0,0,1,0,0,1,0,0
30,0,0,1,0,0,0,0,0,0,0
40,1,0,0,0,0,0,0,0,0,0
70,0,0.2,0,0.8,0,0,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,1
