,note,,,,,White et al,Brian incorrect,Brian,,,,,,,,,,,,,,,,,,,,mostly Tony,Tony,Taehee,White,White
,xylem,,NA,,,,,,,,,,,,,,,,,,,,,,,,,diffuse,ring,ring,,
,location,default,default,default,default,default,BES,BES,default,default,cwt,cwt,cwt,cwt,cwt,cwt,WSC,WSC,WSC,WSC,WSC,WSC,WSC,WSC,WSC,WSC,WSC,NYC,NYC,NYC,NYC,NYC
,Scientific name of tree group,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,Liquidambar styraciflua,Liriodendron tulipifera,pinus taeda,pinus virginiana,Fraxinus pennsylvanica,Cornus florida,Celtis occidentalis,Quercus pagoda,Quercus alba,Acer saccharum,Quercus rubra,Quercus Spp,Picea rubens,Abies balsamea
order,Common name of tree group,evergreen,deciduous,grass,nonveg,shrub,garden,deciduousBES,crop,evergreenBGC,eastern.hemlock.bgc,cwt rhododendron.bgc,Tulip.poplar.bgc,chestnut.oak.bgc,red.maple.bgc,eastern.white.pine,localevergreen,localdeciduous,sweet gum,Tulip poplar,lobolly pine,virginia pine,green ash,nonstocked,hackberry,cherrybark oak,white oak,sugar maple,red oak,Oak Spp,red spruce,Balsam Fir
23,epc.frootlitr_fcel,0.41,0.44,0.531,0.38,0.44,0.44,0.44,0.531,0.45,0.406,0.44,0.44,0.44,0.44,0.495,0.406,0.444857143,0.44,0.44,0.406,0.406,0.44,0.44,0.44,0.44,0.474,0.477,0.44,0.44,0.44,0.44
24,epc.frootlitr_flab,0.23,0.34,0.222,0.42,0.34,0.34,0.34,0.222,0.3,0.233,0.34,0.34,0.34,0.34,0.252,0.233,0.337714286,0.34,0.34,0.233,0.233,0.34,0.34,0.34,0.34,0.324,0.185,0.34,0.34,0.34,0.34
25,epc.frootlitr_flig,0.36,0.22,0.247,0.2,0.22,0.22,0.22,0.247,0.25,0.361,0.22,0.22,0.22,0.22,0.253,0.361,0.217428571,0.22,0.22,0.361,0.361,0.22,0.22,0.22,0.22,0.202,0.338,0.22,0.22,0.22,0.22
26,epc.gl_c,0.00006,0.00006,0.0005,0,3.07E-05,0.00006,0.00006,0.0005,0.00001,3.45E-05,3.07E-05,6.00E-05,0.00233463,5.67E-05,2.40E-05,0.000042,0.00005102,9.19E-05,8.08E-05,4.20E-05,0.00006,6.25E-05,0.00005074,0.00006,2.07E-05,1.94E-05,0.00006,0.000092,0.00006,0.00006,0.00006
27,epc.gl_smax,0.006,0.006,0.005,0,0.003072857,0.004,0.006,0.005,0.003,0.003447819,0.003072857,0.005995126,0.00265299,0.005667443,0.0024,0.004195013,0.005101574,0.009188071,0.008079284,0.004195013,0.006,0.006253676,0.005074,0.006,0.002066432,0.001942136,0.006,0.0046,0.006,0.006,0.006
28,epc.gr_perc,0.2,0.25,0.2,0.2,0.25,0.25,0.25,0.2,0.2,0.02761111,0.04738095,0.4136389,0.5018194,0.3151944,0.2,0.2,0.25,0.25,0.25,0.2,0.2,0.25,0.25,0.25,0.25,0.25,0.2,0.18,0.3,0.25,0.25
29,epc.height_to_stem_coef,11.39,11.39,0.02,11.2,3.796666667,0.02,11.39,0.02,11.39,11.39,3.796666667,12.5,12.5,11.2,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39
30,epc.height_to_stem_exp,0.57,0.57,0,0.6,0.57,0,0.57,0,0.57,0.35,0.35,0.35,0.35,0.35,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
31,epc.kfrag_base,0.01,0.01,0.01,0.00002,0.01,0.01,0.01,0.01,0.004,0.01,0.05,0.00002,0.00002,0.00002,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.002,0.01,0.01
32,epc.lai_ratio (allside_oneside),2.6,2,2,2.2,2,2,2,2,2.6,2.6,2,2,2,2,2.54,2.6,2,2,2,2.6,2.6,2,2,2,2,2,2,2,2,2.6,2.6
33,epc.leaf_cn,45,25,25,49,35,25,25,25,42,50.50505051,48.81760396,22.251,19.9226,18.5,26.1,42,24.4213012,25,22.18267451,42,42,25,26.26564007,25,25,21.34920628,27.85,24.53,26.3,42,42
34,epc.leaf_turnover,0.27,1,0.7,0.25,0.32,1,1,1,0.25,0.332,0.32,1,1,1,0.332,0.628428571,1,1,1,0.628428571,0.588,1,1,1,1,1,1,1,1,0.12625,0.270166667
35,epc.leaflitr_cn,70,55,45,96,75,45,55,45,93,64.9333,75,45.5,41.31,73.025,93,93,56.06071429,55,45.5,93,93,49.5,55,55,55,59.4,70.85,59.26,59.975,93,84.7
36,epc.leaflitr_fcel,0.45,0.44,0.23,0.41,0.29,0.23,0.44,0.23,0.44,0.396,0.29,0.38,0.44,0.38,0.447,0.45,0.422857143,0.44,0.38,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.431,0.44,0.44,0.45,0.441710526
37,epc.leaflitr_flab,0.31,0.38,0.68,0.39,0.56,0.68,0.38,0.68,0.32,0.398,0.56,0.447,0.38,0.447,0.328,0.31,0.399142857,0.38,0.447,0.31,0.31,0.38,0.38,0.38,0.38,0.38,0.448,0.38,0.38,0.31,0.304289474
38,epc.leaflitr_flig,0.24,0.18,0.09,0.2,0.15,0.09,0.18,0.09,0.24,0.206,0.15,0.173,0.18,0.173,0.225,0.24,0.178,0.18,0.173,0.24,0.24,0.18,0.18,0.18,0.18,0.18,0.121,0.18,0.18,0.24,0.254
39,epc.livewood_cn,200,48,250,50,730,0,48,250,50,250,730,50,75.6,50,50,730,478.5714286,550,550,730,730,550,550,550,550,550,556,48,50,730,212
40,epc.livewood_turnover,0.7,0.7,0.2,0.007,0.7,0.2,0.7,0.2,0.7,0.7,0.7,0.7,0.7,0.7,0.769,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
41,epc.max_lai,12,20,2,0,6,2,20,2,12,8,6,6,6,6,20,8,6,6,6,8,8,6,6,6,6,6,6,6,6,8,8
42,epc.maxlgf,0.05,0.15,0.05,0.05,0.05,0.05,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.15,0.05,0.05,0.05
43,epc.ndays_expand,30,30,30,20,20,30,30,30,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,50,20,20
44,epc.ndays_litfall,30,30,30,20,50,50,30,30,30,50,50,20,20,20,50,50,20,20,20,50,50,20,20,20,20,20,20,30,40,50,50
45,epc.phenology.type,EVERGREEN,DECID,EVERGREEN,EVERGREEN,EVERGREEN,EVERGREEN,DECID,DECID,EVERGREEN,EVERGREEN,EVERGREEN,DECID,DECID,DECID,EVERGREEN,EVERGREEN,DECID,DECID,DECID,EVERGREEN,EVERGREEN,DECID,DECID,DECID,DECID,DECID,DECID,DECID,DECID,EVERGREEN,EVERGREEN
46,epc.phenology_flag,static,static,static,static,static,STATIC,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static
47,epc.ppfd_coef,0.03,0.03,0.03,0.03,0.04,0.013,0.03,0.03,0.03,0.0229,0.04,0.0248,0.0234,0.0167,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.4,0.013,0.03,0.03
48,epc.proj_sla m2_kgC,9,32,49,0,12,32,32,49,12,16.32,17.21428571,32.571875,24.30784314,34.17230769,18.8,5.4,31.02730159,24.02,21.24,5.4,8.2,41.94,44.25111111,24.2,32,21.74,34.17222222,20.8,28.24,8.2,8.2
49,epc.proj_swa,1.4,1.5,0,1.4,1.4,0,1.5,0,1.4,0.83,1.4,1.4,1.4,1.4,1.4,1.4,1.485714286,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.4
50,epc.psi_close,-2.5,-2.2,-2.7,-2.5,-4.2,-2.7,-2.2,-2.7,-2.3,-2.5,-4.2,-2.56,-2.2,-2.2,-2.3,-2.5,-2.171428571,-2.2,-2.2,-2.5,-2.5,-2.2,-2.2,-2.2,-2.2,-2,-1.3,-1.97,-2.2,-2.5,-2.5
51,epc.psi_open,-0.65,-0.34,-0.73,-0.65,-0.81,-0.73,-0.34,-0.73,-0.6,-0.5,-0.81,-0.289,-0.924,-0.34,-0.63,-0.65,-0.32,-0.34,-0.34,-0.65,-0.65,-0.34,-0.34,-0.34,-0.34,-0.2,-0.2,-0.438,-0.34,-0.65,-0.65
52,epc.storage_transfer_prop,1,1,0.9,1,0.9,1,1,0.9,1,0.9,0.9,1,1,1,1,0.9,1,1,1,0.9,0.9,1,1,1,1,1,1,1,1,1,1
53,epc.tcoef,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.7316,0.6725,0.19,0.2,0.2,0.662371429,0.7316,0.7316,0.2,0.2,0.7316,0.2,0.7316,0.7316,0.7786,0.19,0.9766,0.2,0.2,0.2
54,epc.tmax,40,40,35,40,42.5,40,40,35,40,40,42.5,42.5,42.5,42.5,40,40,42.14285714,42.5,42.5,40,40,42.5,40,42.5,42.5,42.5,42.5,42.5,40,40,40
55,epc.topt,15,15,17.5,15,22.7,28,15,17.5,15,22.7,22.7,22.7,21.8,19.5,15,22.7,22.61428571,22.7,22.7,22.7,15,22.7,22.7,22.7,22.7,22.1,19.5,19.6,28,15,15
56,epc.veg.type,TREE,TREE,GRASS,NON_VEG,TREE,GRASS,TREE,GRASS,TREE,TREE,TREE,TREE,TREE,TREE,TREE,TREE,TREE,TREE,TREE,TREE,TREE,TREE,TREE,TREE,TREE,TREE,TREE,TREE,TREE,TREE,TREE
57,epc.vpd_close (x1000),3500,3600,4000,3100,4100,5000,3600,4000,4100,3100,4100,3491,19127,3400,3100,4100,3800.571429,4100,4100,4100,3100,3989,3600,3600,3811,3811,3400,2792,3600,3100,3100
58,epc.vpd_open (x1000),0,0,930,610,970,1000,0,930,930,610,970,820.6,658,1200,600,1000,857.1428571,1000,1000,1000,1000,1000,0,1000,1000,1000,1200,921,1100,610,610
59,gsurf_intercept,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,100000000,100000000,100000000,1000000,100000000,85857142.86,100000000,100000000,100000000,100000000,100000000,1000000,100000000,100000000,100000000,100000000,1000000,1000000,1000000,1000000
60,gsurf_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,lai_stomatal_fraction,1,1,1,0,1,1,1,1,1,1,1,1,1.45,0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,max_heat_capacity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,min_heat_capacity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,mortality,0.005,0.005,0,0.002,0.02,0,0.005,0,0.005,0.005,0.02,0.005,0.005,0.005,0.002,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
65,mrc.per_N,0.21,0.2,0.2,0.21,0.3,0.2,0.2,0.2,0.21,0.21,0.1944286,0.2969696,0.3452163,0.3414994,0.3506968,0.21,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.33,0.218,0.21,0.21
66,mrc.q10,1.5,2,1.5,2,2.54,1.5,2,1.5,1.5,2.439607843,2.431429,2.188333,2.326667,2.5075,2,1.5,2.218670256,2,2.320833333,1.5,1.5,2,2.603636364,2,2,2.211086957,2.64,1.95,2.5,1.5,1.5
67,specific_rain_capacity,0.00024,0.0005,0.001,0.001,0.0005,0.00025,0.0005,0.001,0.00024,0.00024,0.0005,0.0005,0.0005,0.0005,0.00024,0.00024,0.0005,0.0005,0.0005,0.00024,0.00024,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.00024,0.00024
68,specific_snow_capacity,0.00024,0.001,0.0025,0.0025,0.001,0.0025,0.001,0.0025,0.00024,0.00024,0.001,0.001,0.001,0.001,0.00024,0.00024,0.001,0.001,0.001,0.00024,0.00024,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.00024,0.00024
69,ustar_overu,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
70,wind_attenuation_coef,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.005,0.4,0.4,0.4,0.4,0.005,0.005,0.4,0.4
71,epc.branch_turnover,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
